ID_EMPRESA,EMPRESA,ANIO,MES,NOMBRE_PUNTO_ENTREGA,NOMBRE_RUTA,TIPO_REMITENTE,NIT_REMITENTE,NUMERO_FACTURA,VALOR_FACTURA_PESOS,CANTIDAD_KG,CARGO_TRANSPORTE_PESOS_KG,VALOR_TRANSPORTE_PESOS,ECO_PESOS_KG,RECAUDO_POR_ECO_PESOS
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,6,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,389094421456688866389094421,14523176,82144.66,96.61,7935996,80.19,6587180
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,2,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8050035836,587059770932863932587059770,11095588,40189.76,96.44,3875900,179.64,7219688
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,1,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8605088925,280554187105135432280554187,4451678,22139.94,96.44,2135176,104.63,2316502
543.0,PROVIGAS S.A.S.  E.S.P.,2019,12,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,42012106,9390,4474,42012106,122.36,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,11,Manizales,Galán - Manizales,COMERCIALIZADOR MAYORISTA,9003352790,512707649264566118512707649,54857589,135850,261.47,35520700,142.34,19336889
543.0,PROVIGAS S.A.S.  E.S.P.,2019,12,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,42974045,9605,4474,42974045,122.36,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,52506573534287330525065735,39262417,137266.78,96.43,13236636,189.6,26025781
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,5,Puerto Salgar,Galán - Puerto Salgar   (poliducto),DISTRIBUIDOR,9001677705,204583443437013703204583443,5871728,23120.68,97.15,2246174,156.81,3625554
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,594262009584867413594262009,7109255,38289.73,96.43,3692279,89.24,3416976
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,5,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,316366520256234627316366520,29880238,117907.97,96.61,11391089,156.81,18489149
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,7,Yumbo,Galán - Yumbo,COMERCIALIZADOR MAYORISTA,8905007263,405951749498291762405951749,8490010,19569,350.57,6860304,83.28,1629706
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,12,Puerto Salgar,Galán - Puerto Salgar   (poliducto),DISTRIBUIDOR,9001677705,3021744197522901302174419,7500025,25755.58,96.65,2489277,194.55,5010748
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,5,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9005702622,804580426850705301804580426,4633096,18243.41,97.15,1772347,156.81,2860749
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2019,12,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,5522156535491636455221565,18633708,63989.38,96.65,6184574,194.55,12449134
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,2,Sebastopol,Galán - Sebastopol   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,5702711675591359657027116,11320108,41003,96.44,3954329,179.64,7365779
543.0,PROVIGAS S.A.S.  E.S.P.,2020,6,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,37487505,8363,4483,37487505,80.19,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,7,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,117357758891479178117357758,9929396,55203.18,96.59,5332075,83.28,4597321
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,634095478160656148634095478,16042566,86403.65,96.43,8331904,89.24,7710662
543.0,PROVIGAS S.A.S.  E.S.P.,2020,2,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,42873079,9584,4473,42873079,179.64,2
543.0,PROVIGAS S.A.S.  E.S.P.,2020,7,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,42885602,9554,4489,42885602,83.28,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,7,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,3442465660952864634424656,5170462,28745.55,96.59,2776533,83.28,2393929
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,7,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8907017660,698714486116149433698714486,4737121,26336.36,96.59,2543829,83.28,2193292
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,1,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9003967595,31294651341037065312946513,8642069,42980.4,96.44,4145030,104.63,4497039
543.0,PROVIGAS S.A.S.  E.S.P.,2020,3,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,49455271,10972,4507,49455271,189.6,6
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,484013234734814110484013234,9393574,32841.22,96.43,3166879,189.6,6226695
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,3,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,8905007263,270783790112923192270783790,18077239,63198.29,96.44,6094843,189.6,11982396
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,594262009584867413594262009,7383545,39767.03,96.43,3834735,89.24,3548810
543.0,PROVIGAS S.A.S.  E.S.P.,2019,11,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,79472850,17770,4472.3,79472850,142.34,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,7,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,581731734681339758581731734,6647866,36959.28,96.59,3569897,83.28,3077969
543.0,PROVIGAS S.A.S.  E.S.P.,2019,12,San Andrés Islas,Cartagena - San Andrés    (marítimo),DISTRIBUIDOR,8270001499,975912737157392909975912737,42607165,9523,4474,42607165,122.36,2
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,1,Puerto Salgar,Galán - Puerto Salgar   (poliducto),COMERCIALIZADOR MAYORISTA,9001758302,904157721785632390415772,14625269,72737.2,96.44,7014776,104.63,7610493
26600.0,CENIT TRANSPORTE Y LOGISTICA DE HIDROCARBUROS S.A.S,2020,4,Yumbo,Galán - Yumbo,COMERCIALIZADOR MAYORISTA,8905007263,615576664969506196615576664,20134185,45537,352.91,16070463,89.24,4063722
